,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genus,species,Strain,FileName,Marine,Ome,Taxa,PennateCentric,PennateCentric_citekey,Rad1_um,Rad2_um,Rad3_um,Rad_citekey,Flagella,Flagella_citekey,GenomeSize_mbp,GeneModels_count,Genome_ref,Genome_citekey,Database,AccessionInfo,LiveLink,Latitude,Longitude,LogLat_citekey,ColonySpecies,Colony_citekey,Notes
Chaetoceros,debilis,MM31A_1,Chaetoceros_debilis_MM31A_1-aa-trans,yes,Transcriptome,Diatom,Centric,[40],6.5,7.5,12,[40],no,[31],1,19453,,[41],iMicrobe,Chaetoceros-debilis-MM31A_1.pep.fa.gz,ftp://ftp.imicrobe.us/camera/combined_assemblies/,,,,0,[42],
Conticribra_Thalassiosira,weissflogii,CCMP1010,Thalassiosira_weissflogii_CCMP1010-aa-trans,yes,Transcriptome,Diatom,Centric,[23],5.5,5.5,7.75,[23],no,[31],1,21329,,[41],iMicrobe,Thalassiosira-weissflogii-CCMP1010.pep.fa.gz,ftp://ftp.imicrobe.us/camera/combined_assemblies/,37,-65,[23],0,[35],
Cyclotella,cryptica,CCMP332,Cyclotella_cryptica_CCMP332-aa-gen,yes,Genome,Diatom,Centric,[43],4.5,4.5,7,[43],no,[31],161.7,21121,,[43],UCLA,Nuclear genome,http://genomes.mcdb.ucla.edu/Cyclotella/download.html,41.355,-70.655,,0,[35],
Nannochloropsis,oceanica,CCMP1779,Nannochloropsis_oceanica_CCMP1779-aa-gen,yes,Genome,Eustigmatophyte,,,1.5,1.5,1.5,[23],no,[44],28.74,10641,,[45],JGI,1143084,https://mycocosm.jgi.doe.gov/Nanoce1779_2/Nanoce1779_2.home.html,29,48,[23],0,[46],
Nannochloropsis,oceanica,CCMP1779,Nannochloropsis_oceanica_CCMP1779-dna-trans,yes,Transcriptome,Eustigmatophyte,,,1.5,1.5,1.5,[23],no,[44],1,0,,[45],JGI,1143084,https://mycocosm.jgi.doe.gov/Nanoce1779_2/Nanoce1779_2.home.html,29,48,[23],0,[46],
Nannochloropsis,gaditana,CCMP526,Nannochloropsis_gaditana_CCMP526-aa-gen,yes,Genome,Eustigmatophyte,,,1.5,1.5,2.5,[23],no,[47],30.3,9052,,[46],NCBI,ASM24072v1,https://www.ncbi.nlm.nih.gov/assembly/GCF_000240725.1/,32.8333,-9,[23],0,[48],
Nannochloropsis,gaditana,CCMP526,Nannochloropsis_gaditana_CCMP526-dna-trans,yes,Transcriptome,Eustigmatophyte,,,1.5,1.5,2.5,[23],no,[47],1,0,,[46],NCBI,ASM24072v1,https://www.ncbi.nlm.nih.gov/assembly/GCF_000240725.1/,32.8333,-9,[23],0,[48],
(Nannochloropsis) Microchloropsis,salina,CCMP1776,Nannochloropsis_salina_CCMP1776-aa-gen,yes,Genome,Eustigmatophyte,,,1.25,1.25,1.5,[23],no,[49],27.7573,10522,,[50],NCBI,ASM456527v1,https://www.ncbi.nlm.nih.gov/genome/75342?genome_assembly_id=739695,55.75,-4.96,[23],0,[51],
Ostreococcus,tauri,RCC1115,Ostreococcus_tauri_RCC1115-aa-gen,yes,Genome,Green,,,0.5,0.5,0.5,[52],no,[53],14.76,8218,,[54],NCBI,GCA_002158475.1,https://phycocosm.jgi.doe.gov/Ostta1115_2/Ostta1115_2.home.html,42.9,3.03,[52],0,[55],
Ostreococcus,tauri,RCC1115,Ostreococcus_tauri_RCC1115-dna-trans,yes,Transcriptome,Green,,,0.5,0.5,0.5,[52],no,[53],1,0,,[54],JGI,Ostreococcus tauri RCC1115 v1.0: Ostta1115_2_GeneCatalog_transcripts_20170131.nt.fasta.gz,https://phycocosm.jgi.doe.gov/Ostta1115_2/Ostta1115_2.home.html,42.9,3.03,[52],0,[55],
Ostreococcus,tauri,RCC4221,Ostreococcus_tauri_RCC4221-aa-gen,yes,Genome,Green,,,0.5,0.5,0.5,[52],no,[53],13.03,7669,,,NCBI,GCF_000214015.3,https://www.ncbi.nlm.nih.gov/assembly/GCF_000214015.3,42.4,3.6,[52],0,[55],
Ostreococcus,tauri,RCC4221,Ostreococcus_tauri_RCC4221-dna-trans,yes,Transcriptome,Green,,,0.5,0.5,0.5,[52],no,[53],1,0,,,NCBI,GCF_000214015.2,https://www.ncbi.nlm.nih.gov/assembly/GCF_000214015.3,42.4,3.6,[52],0,[55],
Bathycoccus,prasinos,RCC1105,Bathycoccus_prasinos_RCC1105-aa-gen,yes,Genome,Green,,,0.75,0.75,0.75,[56],no,[56],15.07,7900,,[56],NCBI,ASM222023v1,https://www.ncbi.nlm.nih.gov/genome/12309?genome_assembly_id=323984,42.45,3.53,[52],0,[57],
Bathycoccus,prasinos,RCC1105,Bathycoccus_prasinos_RCC1105-dna-trans,yes,Transcriptome,Green,,,0.75,0.75,0.75,[56],no,[56],1,0,,[56],NCBI,ASM222023v1,https://www.ncbi.nlm.nih.gov/genome/12309?genome_assembly_id=323984,42.45,3.53,[52],0,[57],
Micromonas,pusilla,CCMP1545,Micromonas_pusilla_CCMP1545-aa-gen,yes,Genome,Green,,,1.25,1.25,1.5,[23],yes,[58],21.9583,10242,,[59],NCBI,GCA_000151265.1,https://www.ncbi.nlm.nih.gov/genome/501?genome_assembly_id=281477,50.365,-4.17,[23],0,[60],
Micromonas,pusilla,CCMP1545,Micromonas_pusilla_CCMP1545-dna-trans,yes,Transcriptome,Green,,,1.25,1.25,1.5,[23],yes,[58],1,0,,[59],NCBI,GCA_000151265.1,https://www.ncbi.nlm.nih.gov/genome/501?genome_assembly_id=281477,50.365,-4.17,[23],0,[60],
Coccomyxa,subellipsoidea,C-169,Coccomyxa_sp_C169-aa-gen,yes,Genome,Green,,,2.4,2.4,3.6,[61],no,[61],49,9629,,[61],JGI,Coccomyxa_C169_v2_filtered_proteins.fasta.gz,https://mycocosm.jgi.doe.gov/Coc_C169_1/Coc_C169_1.home.html,,,,0,[62],
Coccomyxa,subellipsoidea,C-169,Coccomyxa_sp_C169-dna-trans,yes,Transcriptome,Green,,,2.4,2.4,3.6,[61],no,[61],1,0,,[61],JGI,Coccomyxa_C169_v2_filtered_transcripts.fasta.gz,https://mycocosm.jgi.doe.gov/Coc_C169_1/Coc_C169_1.home.html,,,,0,[62],
Dunaliella,salina,CCAP 19/18,Dunaliella_salina_CCAP1918-aa-gen,yes,Genome,Green,,,4.5,4.5,8,[63],yes,[64],343.7,18801,,[65],JGI,"Dunaliella salina CCAP19/18: Project: 1014865, Dunsal1_1_GeneCatalog_proteins_20200511.aa.fasta.gz",https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Dunsal1_1,,,,0,[52],
Dunaliella,salina,CCAP 19/18,Dunaliella_salina_CCAP1918-dna-trans,yes,Transcriptome,Green,,,4.5,4.5,8,[63],yes,[64],1,0,,[65],JGI,"Dunaliella salina CCAP19/18: Project: 1014865, Dunsal1_1_GeneCatalog_transcripts_20200511.nt.fasta.gz",https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Dunsal1_1,,,,0,[52],
Picocystis,salinarum,CCMP1897,Picocystis_salinarum_CCMP1897-aa-trans,yes,Transcriptome,Green,,,1.75,1.75,1.75,[23],no,[66],1,6947,,[41],iMicrobe,Picocystis-salinarum-CCMP1897.pep.fa.gz,ftp://ftp.imicrobe.us/camera/combined_assemblies/,37.78,-122.35,[23],0,[67],
Emiliania,huxleyi,CCMP1516,Emiliania_huxleyi_CCMP1516-aa-gen,yes,Genome,Haptophyte,,,3.25,3.25,3.25,[68],yes,[68],167.676,38554,,[69],NCBI,GCA_000372725.1,https://www.ncbi.nlm.nih.gov/assembly/678008,-2.6667,-82.7167,[23],0,[70],
Emiliania,huxleyi,CCMP1516,Emiliania_huxleyi_CCMP1516-dna-trans,yes,Transcriptome,Haptophyte,,,3.25,3.25,3.25,[68],yes,[68],1,0,,[69],NCBI,GCA_000372725.1,https://www.ncbi.nlm.nih.gov/assembly/678008,-2.6667,-82.7167,[23],0,[70],
Tisochrysis,lutea,,Tisochrysis_lutea-aa-gen,yes,Transcriptome,Haptophyte,,,2.5,2.5,3,[71],yes,[71],54.4,20582,,[72],SEANOE,Protein_sequencesV1,https://www.seanoe.org/data/00361/47171/,,,,0,[71],
Aureococcus,anophagefferens,CCMP1984,Aureococcus_anophagefferens_CCMP1984-aa-gen,yes,Genome,Pelagophyte,,,1.75,1.75,1.75,[73],no,[74],56.6606,11522,,[75],NCBI,GCA_000186865.1Â v 1.0,https://www.ncbi.nlm.nih.gov/assembly/GCF_000186865.1/,40.6667,-73.27,[23],0,[76],
Aureococcus,anophagefferens,CCMP1984,Aureococcus_anophagefferens_CCMP1984-dna-trans,yes,Transcriptome,Pelagophyte,,,1.75,1.75,1.75,[73],no,[74],1,0,,[75],NCBI,GCA_000186865.1Â v 1.0,https://www.ncbi.nlm.nih.gov/assembly/GCF_000186865.1/,40.6667,-73.27,[23],0,[76],
Pelagophyceae,sp.,CCMP2097,Pelagophyceae_sp_CCMP2097-aa-gen,yes,Genome,Pelagophyte,,,4.5,4.5,4.5,[23],yes,[77],85.82,19402,,,JGI,"Pelagophyceae sp. CCMP2097 v1.0: Project: 1020062, Pelago2097_1_GeneCatalog_proteins_20160408.aa.fasta.gz",https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Pelago2097_1,77.0014,-77.2383,[23],0,[52],
Pelagophyceae,sp.,CCMP2097,Pelagophyceae_sp_CCMP2097-dna-trans,yes,Transcriptome,Pelagophyte,,,4.5,4.5,4.5,[23],yes,[77],1,0,,,JGI,"Pelagophyceae sp. CCMP2097 v1.0: Project: 1020062, Pelago2097_1_GeneCatalog_transcripts_20160408.nt.fasta.gz",https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Pelago2097_1,77.0014,-77.2383,[23],0,[52],
Pelagococcus,subviridis,CCMP1429,Pelagococcus_subviridis_CCMP1429-aa-trans,yes,Transcriptome,Pelagophyte,,,1.5,1.5,1.5,[23],yes,[78],1,21365,,[41],iMicrobe,Pelagococcus-subviridis-CCMP1429.pep.fa.gz,ftp://ftp.imicrobe.us/camera/combined_assemblies/,49.9166,-145.1166,[23],0,[52],
Porphyridium,purpureum,CCMP1328,Porphyridium_purpureum_CCMP1328-aa-gen,yes,Genome,Red,,,3.25,3.25,3.25,[23],no,[79],19.7,8355,,[79],RUTGERS,P. purpureumâˆšÃ¤genomic assembly (nucleotide),http://cyanophora.rutgers.edu/porphyridium/,41.5264,-70.67,[23],0,[80],
Minidiscus,variabilis,CCMP495,Minidiscus_variabilis_CCMP495-aa-gen,yes,Genome,Diatom,Centric,[23],1.75,1.75,6,[23],no,[31],76.19,25179,JGI,,JGI,"Minidiscus variabilis CCMP495 v1.0: Project: 1094205, Mintr2_GeneCatalog_proteins_20160618.aa.fasta.gz",https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Mintr2,43,-68,[23],0,[39],
Minidiscus,variabilis,CCMP495,Minidiscus_variabilis_CCMP495-dna-trans,yes,Transcriptome,Diatom,Centric,[23],1.75,1.75,6,[23],no,[31],1,0,JGI,,JGI,"Minidiscus variabilis CCMP495 v1.0: Project: 1094205, Mintr2_GeneCatalog_transcripts_20160618.nt.fasta.gz",https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Mintr2,43,-68,[23],0,[39],
Prochlorococcus,marinus,AS9601,Prochlorococcus_marinus_AS9601-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.67,1899,,[83],NCBI,GCF_000015645.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_008816.1,19.12,67.1,[81],0,[84],
Prochlorococcus,marinus marinus,CCMP1375,Prochlorococcus_marinus_marinus_CCMP1375-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.75,1897,,[85],NCBI,GCF_000007925.1,https://www.ncbi.nlm.nih.gov/assembly/GCF_000007925.1,30,-60,[23],0,[84],
Prochlorococcus,marinus,MIT9313,Prochlorococcus_marinus_MIT9313-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],2.41,2457,,[86],NCBI,GCF_000011485.1,https://www.ncbi.nlm.nih.gov/assembly/GCF_000011485.1,37.3,-68.14,[81],0,[84],
Prochlorococcus,marinus,NATL2A,Prochlorococcus_marinus_NATL2A-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.84,2010,,[83],NCBI,GCF_000012465.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_007335.2,38.59,40.33,[81],0,[84],
Prochlorococcus,marinus pastoris,CCMP1986,Prochlorococcus_marinus_pastoris_CCMP1986-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.7,[23],no,[82],1.66,1908,,[86],NCBI,GCF_000011465.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_005072.1,35,20,[23],0,[84],
Alexandrium,fundyense,CCMP1719,Alexandrium_fundyense_CCMP1719-aa-trans,yes,Transcriptome,Dinoflagellate,,,17.5,17.5,17.5,[23],yes,[78],1,11897,,[41],iMicrobe,Alexandrium-fundyense-CCMP1719.pep.fa,https://datacommons.cyverse.org/browse/iplant/home/shared/imicrobe/camera/camera_mmetsp_ncgr/combined_assemblies/Alexandrium-fundyense-CCMP1719,43.1,-70.782,[23],0,[87],
Amphidinium,carterae,CCMP1314,Amphidinium_carterae_CCMP1314-aa-trans,yes,Transcriptome,Dinoflagellate,,,5.5,5.5,8,[23],yes,[78],1,42459,,[41],iMicrobe,Amphidinium-carterae-CCMP1314/,ftp://ftp.imicrobe.us/camera/combined_assemblies/Amphidinium-carterae-CCMP1314/,41.56,-70.583,[23],0,[88],
Aureoumbra,lagunensis,CCMP1510,Aureoumbra_lagunensis_CCMP1510-aa-trans,yes,Transcriptome,Pelagophyte,,,2.75,2.75,2.75,[23],yes,[78],1,16737,,[41],iMicrobe,Aureoumbra-lagunensis-CCMP1510/,ftp://ftp.imicrobe.us/camera/combined_assemblies/Aureoumbra-lagunensis-CCMP1510/,27.4708,-97.32,[23],0,[89],
Chaetoceros,affinis,CCMP159,Chaetoceros_affinis_CCMP159-aa-trans,yes,Transcriptome,Diatom,Centric,[23],3.75,3.75,11,[23],no,[31],1,19072,,[41],iMicrobe,Chaetoceros-affinis-CCMP159/,ftp://ftp.imicrobe.us/camera/combined_assemblies/Chaetoceros-affinis-CCMP159/,29.42,-86.105,[23],0,[52],
Chattonella,subsalsa,CCMP2191,Chattonella_subsalsa_CCMP2191-aa-trans,yes,Transcriptome,Raphidophyte,,,10.75,10.75,21,[23],yes,,1,25803,,[41],iMicrobe,Chattonella-subsalsa-CCMP2191/,ftp://ftp.imicrobe.us/camera/combined_assemblies/Chattonella-subsalsa-CCMP2191/,38.59,-75.1,[23],0,[52],
Heterosigma,akashiwo,CCMP2393,Heterosigma_akashiwo_CCMP2393-aa-trans,yes,Transcriptome,Raphidophyte,,,6.5,6.5,9,[23],yes,[90],1,40801,,[41],iMicrobe,Heterosigma-akashiwo-CCMP2393/,ftp://ftp.imicrobe.us/camera/combined_assemblies/Heterosigma-akashiwo-CCMP2393/,38.6991,-75.1097,[23],0,[91],
Heterosigma,akashiwo,CCMP452,Heterosigma_akashiwo_CCMP452-aa-trans,yes,Transcriptome,Raphidophyte,,,6,6,6.25,[23],yes,[90],1,27465,,[41],iMicrobe,Heterosigma-akashiwo-CCMP452/,ftp://ftp.imicrobe.us/camera/combined_assemblies/Heterosigma-akashiwo-CCMP452/,41,-73,[23],0,[91],
Isochrysis,galbana,CCMP1323,Isochrysis_galbana_CCMP1323-aa-trans,yes,Transcriptome,Haptophyte,,,1.5,1.5,2.5,[23],yes,[92],1,45931,,[41],iMicrobe,Isochrysis-galbana-CCMP1323/,ftp://ftp.imicrobe.us/camera/combined_assemblies/Isochrysis-galbana-CCMP1323/,54.085,-4.77,[23],0,[23],
Isochrysis,sp.,CCMP1244,Isochrysis_sp_CCMP1244-aa-trans,yes,Transcriptome,Haptophyte,,,2,2,2,[23],yes,,1,38449,,[41],iMicrobe,Isochrysis-sp-CCMP1244/,ftp://ftp.imicrobe.us/camera/combined_assemblies/Isochrysis-sp-CCMP1244/,38.3048,-69.6192,[23],0,[23],
Lingulodinium,polyedra,CCMP1738,Lingulodinium_polyedra_CCMP1738-aa-trans,yes,Transcriptome,Dinoflagellate,,,17.5,17.5,18.75,[23],yes,[78],1,104588,,[41],iMicrobe,Lingulodinium-polyedra-CCMP1738/,ftp://ftp.imicrobe.us/camera/combined_assemblies/Lingulodinium-polyedra-CCMP1738/,27.8,-97.13,[23],0,[52],
Rhodomonas,sp.,CCMP768,Rhodomonas_sp_CCMP768-aa-trans,yes,Transcriptome,Cryptophyte,,,4.75,4.75,8.75,[23],yes,,1,31952,,[41],iMicrobe,Rhodomonas-sp-CCMP768/,ftp://ftp.imicrobe.us/camera/combined_assemblies/Rhodomonas-sp-CCMP768/,-39,176,[23],0,[52],
Scrippsiella,trochoidea,CCMP3099,Scrippsiella_trochoidea_CCMP3099-aa-trans,yes,Transcriptome,Dinoflagellate,,,12.5,12.5,16,[23],yes,[78],1,113860,,[41],iMicrobe,Scrippsiella-trochoidea-CCMP3099/,ftp://ftp.imicrobe.us/camera/combined_assemblies/Scrippsiella-trochoidea-CCMP3099/,27.3122,-82.601,[23],0,[93],
Cyanobium,sp.,NIES-981,Cyanobium_sp_NIES-981-aa-gen,yes,Genome,Prokaryote,,,0.38,0.38,0.65,[94],no,[94],3.02,2883,,[95],NCBI,"GCA_900088535.1 ASM90008853v1 scaffolds: 1 contigs: 1 N50: 3,021,545 L50: 1",https://www.ncbi.nlm.nih.gov/genome/13678?genome_assembly_id=319205,,,,0,[96],
Lotharella,globosa,CCCM811,Lotharella_globosa_CCCM811-aa-trans,yes,Transcriptome,Green,,,4.6,4.6,4.6,[97],yes,[97],1,29293,,[41],iMicrobe,Lotharella-globosa-CCCM811.pep.fa,ftp://ftp.imicrobe.us/camera/combined_assemblies/,13.8333,144.75,[23],0,[98],CCCM811 is also known as CCMP2314 or CCMP1729
Prochlorococcus,sp.,MIT0601,Prochlorococcus_sp._MIT0601-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.71,1854,,[99],NCBI,GCA_000760175.1,https://www.ncbi.nlm.nih.gov/genome/13712?genome_assembly_id=210094,22.75,-158,[99],0,[84],
Prochlorococcus,marinus,GP2,Prochlorococcus_marinus_GP2-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.62,1845,,[99],NCBI,"GCA_000759885.1 ASM75988v1 scaffolds: 11 contigs: 11 N50: 416,038 L50: 2",https://www.ncbi.nlm.nih.gov/genome/164?genome_assembly_id=209980,8,136,[100],0,[84],
Prochlorococcus,sp.,MIT0604,Prochlorococcus_sp._MIT0604-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.78,2040,,[99],NCBI,"GCA_000757845.1 ASM75784v1 scaffolds: 1 contigs: 1 N50: 1,780,061 L50: 1",https://www.ncbi.nlm.nih.gov/genome/13712?genome_assembly_id=209903,22.75,-158,[101],0,[84],
Prochlorococcus,sp.,MIT0801,Prochlorococcus_sp._MIT0801-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.93,2171,,[99],NCBI,"GCA_000757865.1 ASM75786v1 scaffolds: 1 contigs: 1 N50: 1,929,203 L50: 1",https://www.ncbi.nlm.nih.gov/genome/13712?genome_assembly_id=209904,31.67,-64.17,[99],0,[84],
Prochlorococcus,sp.,MIT0602,Prochlorococcus_sp._MIT0602-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.75092,1897,,[99],NCBI,"GCA_000760195.1 ASM76019v1 scaffolds: 9 contigs: 9 N50: 511,704 L50: 2",https://www.ncbi.nlm.nih.gov/genome/13712?genome_assembly_id=210095,22.75,-158,[99],0,[84],
Prochlorococcus,sp.,MIT0603,Prochlorococcus_sp._MIT0603-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.75248,1896,,[99],NCBI,"GCA_000760215.1 ASM76021v1 scaffolds: 7 contigs: 7 N50: 434,668 L50: 2",https://www.ncbi.nlm.nih.gov/genome/13712?genome_assembly_id=210096,22.75,-158,[99],0,[84],
Prochlorococcus,sp.,SS52,Prochlorococcus_sp._SS52-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.75405,1919,,[99],NCBI,"GCA_000760375.1 ASM76037v1 scaffolds: 22 contigs: 22 N50: 124,224 L50: 5",https://www.ncbi.nlm.nih.gov/genome/13712?genome_assembly_id=210100,28.98,-64.35,[102],0,[84],
Prochlorococcus,sp.,MIT0701,Prochlorococcus_sp._MIT0701-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],2.59257,2591,,[99],NCBI,"GCA_000760295.1 ASM76029v1 scaffolds: 53 contigs: 53 N50: 84,463 L50: 9",https://www.ncbi.nlm.nih.gov/genome/13712?genome_assembly_id=210097,-13.45,-0.04,[99],0,[84],
Prochlorococcus,sp.,MIT0702,Prochlorococcus_sp._MIT0702-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],2.58306,5288,,[99],NCBI,"GCA_000760315.1 ASM76031v1 scaffolds: 61 contigs: 61 N50: 76,101 L50: 10",https://www.ncbi.nlm.nih.gov/genome/13712?genome_assembly_id=210098,-13.45,-0.04,[99],0,[84],
Prochlorococcus,sp.,MIT0703,Prochlorococcus_sp._MIT0703-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],2.57506,2591,,[99],NCBI,"GCA_000760335.1 ASM76033v1 scaffolds: 61 contigs: 61 N50: 81,186 L50: 10",https://www.ncbi.nlm.nih.gov/genome/13712?genome_assembly_id=210099,-13.45,-0.04,[99],0,[84],
Prochlorococcus,marinus,SB,Prochlorococcus_marinus_SB-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.66982,1874,,[99],NCBI,"GCA_000760115.1 ASM76011v1 scaffolds: 4 contigs: 4 N50: 1,237,529 L50: 1",https://www.ncbi.nlm.nih.gov/genome/164?genome_assembly_id=209989,35,138.3,[100],0,[84],
Prochlorococcus,marinus,SS35,Prochlorococcus_marinus_SS35-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.75101,1895,,[99],NCBI,"GCA_000760275.1 ASM76027v1 scaffolds: 9 contigs: 9 N50: 446,270 L50: 2",https://www.ncbi.nlm.nih.gov/genome/164?genome_assembly_id=209993,28.98,-64.35,[102],0,[84],
Prochlorococcus,marinus,SS51,Prochlorococcus_marinus_SS51-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.74698,1908,,[99],NCBI,"GCA_000760355.1 ASM76035v1 scaffolds: 12 contigs: 12 N50: 232,789 L50: 3",https://www.ncbi.nlm.nih.gov/genome/164?genome_assembly_id=209994,28.98,-64.35,[102],0,[84],
Prochlorococcus,marinus,SS2,Prochlorococcus_marinus_SS2-aa-gen,yes,Genome,Prokaryote,,,0.35,0.35,0.55,[81],no,[82],1.75277,1903,,[99],NCBI,"GCA_000760255.1 ASM76025v1 scaffolds: 19 contigs: 19 N50: 187,268 L50: 3",https://www.ncbi.nlm.nih.gov/genome/164?genome_assembly_id=209992,28.98,-64.35,[102],0,[84],
