Genus,species,Strain,FileName,Marine,Ome,Taxa,PennateCentric,PennateCentric_citekey,Rad1_um,Rad2_um,Rad3_um,Rad_citekey,Flagella,Flagella_citekey,GenomeSize_mbp,GeneModels_count,Genome_ref,Genome_citekey,Database,AccessionInfo,LiveLink,Latitude,Longitude,LogLat_citekey,ColonySpecies,Colony_citekey,Notes
Coscinodiscus,wailesii,CCMP2513,Coscinodiscus_wailesii_CCMP2513-aa-trans,yes,Transcriptome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],44,44,44,[@re3data.orgBigelowNationalCenter2017],no,[@nanjappaDiatomFlagellarGenes2017],1,0,NA,[@johnsonReassemblyQualityEvaluation2019],MMETSP,,https://figshare.com/articles/dataset/Marine_Microbial_Eukaryotic_Transcriptome_Sequencing_Project_re-assemblies/3840153,31.4322,-80.358,[@re3data.orgBigelowNationalCenter2017],0,[@miklaszPhysicalConstraintsSize2012],NA
Chaetoceros,debilis,MM31A_1,Chaetoceros_debilis_MM31A_1-aa-trans,yes,Transcriptome,Diatom,Centric,[@phytopediaPhytoPediaPhytoplankton2012],6.5,7.5,12,[@phytopediaPhytoPediaPhytoplankton2012],no,[@nanjappaDiatomFlagellarGenes2017],1,19453,NA,[@keelingMarineMicrobialEukaryote2014],iMicrobe,,ftp://ftp.imicrobe.us/camera/combined_assemblies/,NA,NA,NA,0,[@gaonkarSpeciesDetectionDelineation2020],NA
Conticribra_Thalassiosira,weissflogii,CCMP1010,Thalassiosira_weissflogii_CCMP1010-aa-trans,yes,Transcriptome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],5.5,5.5,7.75,[@re3data.orgBigelowNationalCenter2017],no,[@nanjappaDiatomFlagellarGenes2017],1,21329,NA,[@keelingMarineMicrobialEukaryote2014],iMicrobe,,ftp://ftp.imicrobe.us/camera/combined_assemblies/,37,-65,[@re3data.orgBigelowNationalCenter2017],0,[@hevia-orubeMolecularMorphologicalAnalyses2016],NA
Cyclotella,cryptica,CCMP332,Cyclotella_cryptica_CCMP332-aa-gen,yes,Genome,Diatom,Centric,[@trallerGenomeMethylomeOleaginous2016],4.5,4.5,7,[@trallerGenomeMethylomeOleaginous2016],no,[@nanjappaDiatomFlagellarGenes2017],161.7,21121,NA,[@trallerGenomeMethylomeOleaginous2016],UCLA,,http://genomes.mcdb.ucla.edu/Cyclotella/download.html,41.355,-70.655,NA,0,[@hevia-orubeMolecularMorphologicalAnalyses2016],NA
Nannochloropsis,oceanica,CCMP1779,Nannochloropsis_oceanica_CCMP1779-aa-gen,yes,Genome,Eustigmatophyte,NA,NA,1.5,1.5,1.5,[@re3data.orgBigelowNationalCenter2017],no,[@guoGenomeAssemblyNannochloropsis2019],28.74,10641,NA,[@vielerGenomeFunctionalGene2012],JGI,,https://mycocosm.jgi.doe.gov/Nanoce1779_2/Nanoce1779_2.home.html,29,48,[@re3data.orgBigelowNationalCenter2017],0,[@sudaTaxonomicCharacterizationMarine2002a],NA
Nannochloropsis,oceanica,CCMP1779,Nannochloropsis_oceanica_CCMP1779-dna-trans,yes,Transcriptome,Eustigmatophyte,NA,NA,1.5,1.5,1.5,[@re3data.orgBigelowNationalCenter2017],no,[@guoGenomeAssemblyNannochloropsis2019],1,0,NA,[@vielerGenomeFunctionalGene2012],JGI,,https://mycocosm.jgi.doe.gov/Nanoce1779_2/Nanoce1779_2.home.html,29,48,[@re3data.orgBigelowNationalCenter2017],0,[@sudaTaxonomicCharacterizationMarine2002a],NA
Nannochloropsis,gaditana,CCMP526,Nannochloropsis_gaditana_CCMP526-aa-gen,yes,Genome,Eustigmatophyte,NA,NA,1.5,1.5,2.5,[@re3data.orgBigelowNationalCenter2017],no,[@radakovitsDraftGenomeSequence2012],30.3,9052,NA,[@sudaTaxonomicCharacterizationMarine2002],NCBI,,https://www.ncbi.nlm.nih.gov/assembly/GCF_000240725.1/,32.8333,-9,[@re3data.orgBigelowNationalCenter2017],0,[@mitraEuryhalineNannochloropsisGaditana2015],NA
Nannochloropsis,gaditana,CCMP526,Nannochloropsis_gaditana_CCMP526-dna-trans,yes,Transcriptome,Eustigmatophyte,NA,NA,1.5,1.5,2.5,[@re3data.orgBigelowNationalCenter2017],no,[@radakovitsDraftGenomeSequence2012],1,0,NA,[@sudaTaxonomicCharacterizationMarine2002],NCBI,,https://www.ncbi.nlm.nih.gov/assembly/GCF_000240725.1/,32.8333,-9,[@re3data.orgBigelowNationalCenter2017],0,[@mitraEuryhalineNannochloropsisGaditana2015],NA
(Nannochloropsis) Microchloropsis,salina,CCMP1776,Nannochloropsis_salina_CCMP1776-aa-gen,yes,Genome,Eustigmatophyte,NA,NA,1.25,1.25,1.5,[@re3data.orgBigelowNationalCenter2017],no,[@ohanNuclearGenomeAssembly2019],27.7573,10522,NA,[@oliverDiploidGenomicArchitecture2021],NCBI,,https://www.ncbi.nlm.nih.gov/genome/75342?genome_assembly_id=739695,55.75,-4.96,[@re3data.orgBigelowNationalCenter2017],0,[@krienitzFoodAlgaeLesser2016],NA
Ostreococcus,tauri,RCC1115,Ostreococcus_tauri_RCC1115-aa-gen,yes,Genome,Green,NA,NA,0.5,0.5,0.5,[@vaulotRoscoffCultureCollection2004],no,[@palenikTinyEukaryoteOstreococcus2007],14.76,8218,NA,[@blanc-mathieuPopulationGenomicsPicophytoplankton2017],NCBI,,https://phycocosm.jgi.doe.gov/Ostta1115_2/Ostta1115_2.home.html,42.9,3.03,[@vaulotRoscoffCultureCollection2004],0,[@ooijenGenomicTransformationPicoeukaryote2012],NA
Ostreococcus,tauri,RCC1115,Ostreococcus_tauri_RCC1115-dna-trans,yes,Transcriptome,Green,NA,NA,0.5,0.5,0.5,[@vaulotRoscoffCultureCollection2004],no,[@palenikTinyEukaryoteOstreococcus2007],1,0,NA,[@blanc-mathieuPopulationGenomicsPicophytoplankton2017],JGI,,https://phycocosm.jgi.doe.gov/Ostta1115_2/Ostta1115_2.home.html,42.9,3.03,[@vaulotRoscoffCultureCollection2004],0,[@ooijenGenomicTransformationPicoeukaryote2012],NA
Ostreococcus,tauri,RCC4221,Ostreococcus_tauri_RCC4221-aa-gen,yes,Genome,Green,NA,NA,0.5,0.5,0.5,[@vaulotRoscoffCultureCollection2004],no,[@palenikTinyEukaryoteOstreococcus2007],13.03,7669,NA,NA,NCBI,,https://www.ncbi.nlm.nih.gov/assembly/GCF_000214015.3,42.4,3.6,[@vaulotRoscoffCultureCollection2004],0,[@ooijenGenomicTransformationPicoeukaryote2012],NA
Ostreococcus,tauri,RCC4221,Ostreococcus_tauri_RCC4221-dna-trans,yes,Transcriptome,Green,NA,NA,0.5,0.5,0.5,[@vaulotRoscoffCultureCollection2004],no,[@palenikTinyEukaryoteOstreococcus2007],1,0,NA,NA,NCBI,,https://www.ncbi.nlm.nih.gov/assembly/GCF_000214015.3,42.4,3.6,[@vaulotRoscoffCultureCollection2004],0,[@ooijenGenomicTransformationPicoeukaryote2012],NA
Bathycoccus,prasinos,RCC1105,Bathycoccus_prasinos_RCC1105-aa-gen,yes,Genome,Green,NA,NA,0.75,0.75,0.75,[@moreauGeneFunctionalitiesGenome2012],no,[@moreauGeneFunctionalitiesGenome2012],15.07,7900,NA,[@moreauGeneFunctionalitiesGenome2012],NCBI,,https://www.ncbi.nlm.nih.gov/genome/12309?genome_assembly_id=323984,42.45,3.53,[@vaulotRoscoffCultureCollection2004],0,[@marinMolecularPhylogenyClassification2010],NA
Bathycoccus,prasinos,RCC1105,Bathycoccus_prasinos_RCC1105-dna-trans,yes,Transcriptome,Green,NA,NA,0.75,0.75,0.75,[@moreauGeneFunctionalitiesGenome2012],no,[@moreauGeneFunctionalitiesGenome2012],1,0,NA,[@moreauGeneFunctionalitiesGenome2012],NCBI,,https://www.ncbi.nlm.nih.gov/genome/12309?genome_assembly_id=323984,42.45,3.53,[@vaulotRoscoffCultureCollection2004],0,[@marinMolecularPhylogenyClassification2010],NA
Micromonas,pusilla,CCMP1545,Micromonas_pusilla_CCMP1545-aa-gen,yes,Genome,Green,NA,NA,1.25,1.25,1.5,[@re3data.orgBigelowNationalCenter2017],yes,[@throndsenPlanktonicMarineFlagellates1997],21.9583,10242,NA,[@wordenGreenEvolutionDynamic2009],NCBI,,https://www.ncbi.nlm.nih.gov/genome/501?genome_assembly_id=281477,50.365,-4.17,[@re3data.orgBigelowNationalCenter2017],0,[@slapetaGlobalDispersalAncient2006],NA
Micromonas,pusilla,CCMP1545,Micromonas_pusilla_CCMP1545-dna-trans,yes,Transcriptome,Green,NA,NA,1.25,1.25,1.5,[@re3data.orgBigelowNationalCenter2017],yes,[@throndsenPlanktonicMarineFlagellates1997],1,0,NA,[@wordenGreenEvolutionDynamic2009],NCBI,,https://www.ncbi.nlm.nih.gov/genome/501?genome_assembly_id=281477,50.365,-4.17,[@re3data.orgBigelowNationalCenter2017],0,[@slapetaGlobalDispersalAncient2006],NA
Coccomyxa,subellipsoidea,C-169,Coccomyxa_sp_C169-aa-gen,yes,Genome,Green,NA,NA,2.4,2.4,3.6,[@blancGenomePolarEukaryotic2012],no,[@blancGenomePolarEukaryotic2012],49,9629,NA,[@blancGenomePolarEukaryotic2012],JGI,,https://mycocosm.jgi.doe.gov/Coc_C169_1/Coc_C169_1.home.html,NA,NA,NA,0,[@takahashiLipidProductivityTALENinduced2018],NA
Coccomyxa,subellipsoidea,C-169,Coccomyxa_sp_C169-dna-trans,yes,Transcriptome,Green,NA,NA,2.4,2.4,3.6,[@blancGenomePolarEukaryotic2012],no,[@blancGenomePolarEukaryotic2012],1,0,NA,[@blancGenomePolarEukaryotic2012],JGI,,https://mycocosm.jgi.doe.gov/Coc_C169_1/Coc_C169_1.home.html,NA,NA,NA,0,[@takahashiLipidProductivityTALENinduced2018],NA
Dunaliella,salina,CCAP 19/18,Dunaliella_salina_CCAP1918-aa-gen,yes,Genome,Green,NA,NA,4.5,4.5,8,[@heimannChapterMicroalgalClassification2015],yes,[@orenHundredYearsDunaliella2005],343.7,18801,NA,[@polleDraftNuclearGenome2017],JGI,,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Dunsal1_1,NA,NA,NA,0,[@vaulotRoscoffCultureCollection2004],NA
Dunaliella,salina,CCAP 19/18,Dunaliella_salina_CCAP1918-dna-trans,yes,Transcriptome,Green,NA,NA,4.5,4.5,8,[@heimannChapterMicroalgalClassification2015],yes,[@orenHundredYearsDunaliella2005],1,0,NA,[@polleDraftNuclearGenome2017],JGI,,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Dunsal1_1,NA,NA,NA,0,[@vaulotRoscoffCultureCollection2004],NA
Picocystis,salinarum,CCMP1897,Picocystis_salinarum_CCMP1897-aa-trans,yes,Transcriptome,Green,NA,NA,1.75,1.75,1.75,[@re3data.orgBigelowNationalCenter2017],no,[@dossantosChloropicophyceaeNewClass2017],1,6947,NA,[@keelingMarineMicrobialEukaryote2014],iMicrobe,,ftp://ftp.imicrobe.us/camera/combined_assemblies/,37.78,-122.35,[@re3data.orgBigelowNationalCenter2017],0,[@krienitzPicocystisSalinarumChlorophyta2012],NA
Emiliania,huxleyi,CCMP1516,Emiliania_huxleyi_CCMP1516-aa-gen,yes,Genome,Haptophyte,NA,NA,3.25,3.25,3.25,[@borowitzkaBiologyMicroalgae2018],yes,[@borowitzkaBiologyMicroalgae2018],167.676,38554,NA,[@readPanGenomePhytoplankton2013],NCBI,,https://www.ncbi.nlm.nih.gov/assembly/678008,-2.6667,-82.7167,[@re3data.orgBigelowNationalCenter2017],0,[@sekinoRoleCoccolithsUtilization1996],NA
Emiliania,huxleyi,CCMP1516,Emiliania_huxleyi_CCMP1516-dna-trans,yes,Transcriptome,Haptophyte,NA,NA,3.25,3.25,3.25,[@borowitzkaBiologyMicroalgae2018],yes,[@borowitzkaBiologyMicroalgae2018],1,0,NA,[@readPanGenomePhytoplankton2013],NCBI,,https://www.ncbi.nlm.nih.gov/assembly/678008,-2.6667,-82.7167,[@re3data.orgBigelowNationalCenter2017],0,[@sekinoRoleCoccolithsUtilization1996],NA
Tisochrysis,lutea,-,Tisochrysis_lutea-aa-gen,yes,Transcriptome,Haptophyte,NA,NA,2.5,2.5,3,[@bendifDescriptionTisochrysisLutea2013],yes,[@bendifDescriptionTisochrysisLutea2013],54.4,20582,NA,[@carrierDraftGenomesAlgae2017],SEANOE,,https://www.seanoe.org/data/00361/47171/,NA,NA,NA,0,[@bendifDescriptionTisochrysisLutea2013a],NA
Aureococcus,anophagefferens,CCMP1984,Aureococcus_anophagefferens_CCMP1984-aa-gen,yes,Genome,Pelagophyte,NA,NA,1.75,1.75,1.75,[@beltramiChapterViralOutbreaks2013],no,[@caronDevelopmentApplicationMonoclonalAntibody2003],56.6606,11522,NA,[@goblerNicheHarmfulAlga2011],NCBI,,https://www.ncbi.nlm.nih.gov/assembly/GCF_000186865.1/,40.6667,-73.27,[@re3data.orgBigelowNationalCenter2017],0,[@sieburthUltrastructureEcologyAureococcus1988],NA
Aureococcus,anophagefferens,CCMP1984,Aureococcus_anophagefferens_CCMP1984-dna-trans,yes,Transcriptome,Pelagophyte,NA,NA,1.75,1.75,1.75,[@beltramiChapterViralOutbreaks2013],no,[@caronDevelopmentApplicationMonoclonalAntibody2003],1,0,NA,[@goblerNicheHarmfulAlga2011],NCBI,,https://www.ncbi.nlm.nih.gov/assembly/GCF_000186865.1/,40.6667,-73.27,[@re3data.orgBigelowNationalCenter2017],0,[@sieburthUltrastructureEcologyAureococcus1988],NA
Pelagophyceae,sp.,CCMP2097,Pelagophyceae_sp_CCMP2097-aa-gen,yes,Genome,Pelagophyte,NA,NA,4.5,4.5,4.5,[@re3data.orgBigelowNationalCenter2017],yes,[@ribeiroCulturableDiversityArctic2019],85.82,19402,NA,NA,JGI,,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Pelago2097_1,77.0014,-77.2383,[@re3data.orgBigelowNationalCenter2017],0,[@vaulotRoscoffCultureCollection2004],NA
Pelagophyceae,sp.,CCMP2097,Pelagophyceae_sp_CCMP2097-dna-trans,yes,Transcriptome,Pelagophyte,NA,NA,4.5,4.5,4.5,[@re3data.orgBigelowNationalCenter2017],yes,[@ribeiroCulturableDiversityArctic2019],1,0,NA,NA,JGI,,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Pelago2097_1,77.0014,-77.2383,[@re3data.orgBigelowNationalCenter2017],0,[@vaulotRoscoffCultureCollection2004],NA
Pelagococcus,subviridis,CCMP1429,Pelagococcus_subviridis_CCMP1429-aa-trans,yes,Transcriptome,Pelagophyte,NA,NA,1.5,1.5,1.5,[@re3data.orgBigelowNationalCenter2017],yes,[@royPhytoplanktonPigmentsCharacterization2011],1,21365,NA,[@keelingMarineMicrobialEukaryote2014],iMicrobe,,ftp://ftp.imicrobe.us/camera/combined_assemblies/,49.9166,-145.1166,[@re3data.orgBigelowNationalCenter2017],0,[@vaulotRoscoffCultureCollection2004],NA
Porphyridium,purpureum,CCMP1328,Porphyridium_purpureum_CCMP1328-aa-gen,yes,Genome,Red,NA,NA,3.25,3.25,3.25,[@re3data.orgBigelowNationalCenter2017],no,[@bhattacharyaGenomeRedAlga2013],19.7,8355,NA,[@bhattacharyaGenomeRedAlga2013],RUTGERS,,http://cyanophora.rutgers.edu/porphyridium/,41.5264,-70.67,[@re3data.orgBigelowNationalCenter2017],0,[@markinaPorphyridiumPurpureumMicroalga2021],NA
Minidiscus,variabilis,CCMP495,Minidiscus_variabilis_CCMP495-aa-gen,yes,Genome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],1.75,1.75,6,[@re3data.orgBigelowNationalCenter2017],no,[@nanjappaDiatomFlagellarGenes2017],76.19,25179,JGI,NA,JGI,,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Mintr2,43,-68,[@re3data.orgBigelowNationalCenter2017],0,[@miklaszPhysicalConstraintsSize2012],NA
Minidiscus,variabilis,CCMP495,Minidiscus_variabilis_CCMP495-dna-trans,yes,Transcriptome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],1.75,1.75,6,[@re3data.orgBigelowNationalCenter2017],no,[@nanjappaDiatomFlagellarGenes2017],1,0,JGI,NA,JGI,,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Mintr2,43,-68,[@re3data.orgBigelowNationalCenter2017],0,[@miklaszPhysicalConstraintsSize2012],NA
Prochlorococcus,marinus,AS9601,Prochlorococcus_marinus_AS9601-aa-gen,yes,Genome,Prokaryote,NA,NA,0.35,0.35,0.55,[@partenskyProchlorococcusMarinePhotosynthetic1999],no,[@aguilo-ferretjansPiliAllowDominant2021],1.67,1899,NA,[@kettlerPatternsImplicationsGene2007],NCBI,,https://www.ncbi.nlm.nih.gov/nuccore/NC_008816.1,19.12,67.1,[@partenskyProchlorococcusMarinePhotosynthetic1999],0,[@parkCharacterizationBacterialCommunity2021],NA
Prochlorococcus,marinus marinus,CCMP1375,Prochlorococcus_marinus_marinus_CCMP1375-aa-gen,yes,Genome,Prokaryote,NA,NA,0.35,0.35,0.55,[@partenskyProchlorococcusMarinePhotosynthetic1999],no,[@aguilo-ferretjansPiliAllowDominant2021],1.75,1897,NA,[@dufresneGenomeSequenceCyanobacterium2003],NCBI,,https://www.ncbi.nlm.nih.gov/assembly/GCF_000007925.1,30,-60,[@re3data.orgBigelowNationalCenter2017],0,[@parkCharacterizationBacterialCommunity2021],NA
Prochlorococcus,marinus,MIT9313,Prochlorococcus_marinus_MIT9313-aa-gen,yes,Genome,Prokaryote,NA,NA,0.35,0.35,0.55,[@partenskyProchlorococcusMarinePhotosynthetic1999],no,[@aguilo-ferretjansPiliAllowDominant2021],2.41,2457,NA,[@rocapGenomeDivergenceTwo2003],NCBI,,https://www.ncbi.nlm.nih.gov/assembly/GCF_000011485.1,37.3,-68.14,[@partenskyProchlorococcusMarinePhotosynthetic1999],0,[@parkCharacterizationBacterialCommunity2021],NA
Prochlorococcus,marinus,NATL2A,Prochlorococcus_marinus_NATL2A-aa-gen,yes,Genome,Prokaryote,NA,NA,0.35,0.35,0.55,[@partenskyProchlorococcusMarinePhotosynthetic1999],no,[@aguilo-ferretjansPiliAllowDominant2021],1.84,2010,NA,[@kettlerPatternsImplicationsGene2007],NCBI,,https://www.ncbi.nlm.nih.gov/nuccore/NC_007335.2,38.59,40.33,[@partenskyProchlorococcusMarinePhotosynthetic1999],0,[@parkCharacterizationBacterialCommunity2021],NA
Prochlorococcus,marinus pastoris,CCMP1986,Prochlorococcus_marinus_pastoris_CCMP1986-aa-gen,yes,Genome,Prokaryote,NA,NA,0.35,0.35,0.7,[@re3data.orgBigelowNationalCenter2017],no,[@aguilo-ferretjansPiliAllowDominant2021],1.66,1908,NA,[@rocapGenomeDivergenceTwo2003],NCBI,,https://www.ncbi.nlm.nih.gov/nuccore/NC_005072.1,35,20,[@re3data.orgBigelowNationalCenter2017],0,[@parkCharacterizationBacterialCommunity2021],NA
Alexandrium,fundyense,CCMP1719,Alexandrium_fundyense_CCMP1719-aa-trans,yes,Transcriptome,Dinoflagellate,NA,NA,17.5,17.5,17.5,[@re3data.orgBigelowNationalCenter2017],yes,[@royPhytoplanktonPigmentsCharacterization2011],1,11897,NA,[@keelingMarineMicrobialEukaryote2014],iMicrobe,,https://datacommons.cyverse.org/browse/iplant/home/shared/imicrobe/camera/camera_mmetsp_ncgr/combined_assemblies/Alexandrium-fundyense-CCMP1719,43.1,-70.782,[@re3data.orgBigelowNationalCenter2017],0,[@guMorphologyPhylogenyToxicity2013],NA
Amphidinium,carterae,CCMP1314,Amphidinium_carterae_CCMP1314-aa-trans,yes,Transcriptome,Dinoflagellate,NA,NA,5.5,5.5,8,[@re3data.orgBigelowNationalCenter2017],yes,[@royPhytoplanktonPigmentsCharacterization2011],1,42459,NA,[@keelingMarineMicrobialEukaryote2014],iMicrobe,,ftp://ftp.imicrobe.us/camera/combined_assemblies/Amphidinium-carterae-CCMP1314/,41.56,-70.583,[@re3data.orgBigelowNationalCenter2017],0,[@limFeedingHarmfulPhototrophic2018],NA
Aureoumbra,lagunensis,CCMP1510,Aureoumbra_lagunensis_CCMP1510-aa-trans,yes,Transcriptome,Pelagophyte,NA,NA,2.75,2.75,2.75,[@re3data.orgBigelowNationalCenter2017],yes,[@royPhytoplanktonPigmentsCharacterization2011],1,16737,NA,[@keelingMarineMicrobialEukaryote2014],iMicrobe,,ftp://ftp.imicrobe.us/camera/combined_assemblies/Aureoumbra-lagunensis-CCMP1510/,27.4708,-97.32,[@re3data.orgBigelowNationalCenter2017],0,[@sharmaDiurnalVariationTexas2000],NA
Chaetoceros,affinis,CCMP159,Chaetoceros_affinis_CCMP159-aa-trans,yes,Transcriptome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],3.75,3.75,11,[@re3data.orgBigelowNationalCenter2017],no,[@nanjappaDiatomFlagellarGenes2017],1,19072,NA,[@keelingMarineMicrobialEukaryote2014],iMicrobe,,ftp://ftp.imicrobe.us/camera/combined_assemblies/Chaetoceros-affinis-CCMP159/,29.42,-86.105,[@re3data.orgBigelowNationalCenter2017],0,[@vaulotRoscoffCultureCollection2004],NA
Chattonella,subsalsa,CCMP2191,Chattonella_subsalsa_CCMP2191-aa-trans,yes,Transcriptome,Raphidophyte,NA,NA,10.75,10.75,21,[@re3data.orgBigelowNationalCenter2017],yes,NA,1,25803,NA,[@keelingMarineMicrobialEukaryote2014],iMicrobe,,ftp://ftp.imicrobe.us/camera/combined_assemblies/Chattonella-subsalsa-CCMP2191/,38.59,-75.1,[@re3data.orgBigelowNationalCenter2017],0,[@vaulotRoscoffCultureCollection2004],NA
